Date,Open,High,Low,Close,Adj Close,Volume
1981-05-20,5.174607,5.203515,5.058973,5.073427,1.065036,336400
1981-05-21,5.073427,5.116790,4.972248,4.972248,1.043796,507600
1981-05-22,4.972248,4.972248,4.885523,4.928885,1.034693,241200
1981-05-26,4.972248,5.030065,4.972248,4.986702,1.046829,473900
1981-05-27,4.986702,5.030065,4.943339,5.015611,1.052899,625200
1981-05-28,5.015611,5.087882,5.001156,5.001156,1.049865,283600
1981-05-29,5.030065,5.087882,5.030065,5.087882,1.068070,126200
1981-06-01,5.087882,5.116790,5.030065,5.044519,1.058967,242100
1981-06-02,5.030065,5.030065,4.928885,4.957794,1.040761,115000
1981-06-03,4.957794,4.972248,4.928885,4.972248,1.043796,128800
1981-06-04,4.972248,4.972248,4.885523,4.885523,1.025591,171200
1981-06-05,4.885523,5.058973,4.813251,4.986702,1.046829,415900
1981-06-08,4.986702,5.087882,4.986702,5.073427,1.065036,80400
1981-06-09,5.073427,5.189061,5.058973,5.145699,1.080207,336400
1981-06-10,5.145699,5.203515,5.073427,5.102336,1.071104,528300
1981-06-11,5.087882,5.087882,4.986702,4.986702,1.046829,217000
1981-06-12,5.001156,5.030065,5.001156,5.001156,1.049865,275800
1981-06-15,5.001156,5.030065,4.856614,4.856614,1.019521,247300
1981-06-16,4.856614,4.856614,4.683164,4.712072,0.989178,1117300
1981-06-17,4.712072,4.726526,4.625347,4.712072,0.989178,437500
1981-06-18,4.726526,4.798798,4.726526,4.740981,0.995247,128800
1981-06-19,4.740981,4.827706,4.740981,4.740981,0.995247,491200
1981-06-22,4.740981,4.798798,4.625347,4.654255,0.977041,124500
1981-06-23,4.654255,4.769889,4.625347,4.740981,0.995247,634700
1981-06-24,4.740981,4.755435,4.654255,4.712072,0.989178,391700
1981-06-25,4.712072,4.726526,4.683164,4.683164,0.983110,210100
1981-06-26,4.683164,4.683164,4.610893,4.625347,0.970973,308700
1981-06-29,4.610893,4.610893,4.480805,4.509713,0.946698,574200
1981-06-30,4.509713,4.581984,4.509713,4.553076,0.955801,272400
1981-07-01,4.538621,4.538621,4.466351,4.524168,0.949732,607900
1981-07-02,4.553076,4.625347,4.553076,4.625347,0.970973,422800
1981-07-06,4.596438,4.596438,4.451896,4.451896,0.934561,364900
1981-07-07,4.451896,4.509713,4.422988,4.451896,0.934561,209200
1981-07-08,4.451896,4.495259,4.451896,4.480805,0.940629,252500
1981-07-09,4.480805,4.553076,4.480805,4.538621,0.952767,281900
1981-07-10,4.509713,4.509713,4.495259,4.495259,0.943664,368400
1981-07-13,4.495259,4.524168,4.422988,4.422988,0.928492,271500
1981-07-14,4.422988,4.480805,4.422988,4.466351,0.937596,358000
1981-07-15,4.466351,4.610893,4.466351,4.538621,0.952767,502400
1981-07-16,4.538621,4.610893,4.538621,4.581984,0.961869,361400
1981-07-17,4.581984,4.726526,4.567530,4.683164,0.983110,530900
1981-07-20,4.683164,4.683164,4.553076,4.596438,0.964904,951200
1981-07-21,4.596438,4.596438,4.394080,4.422988,0.928492,380500
1981-07-22,4.422988,4.509713,4.408534,4.408534,0.925458,1029900
1981-07-23,4.408534,4.408534,4.336263,4.408534,0.925458,331200
1981-07-24,4.394080,4.394080,4.336263,4.365171,0.916355,1387100
1981-07-27,4.365171,4.422988,4.350717,4.350717,0.913321,306100
1981-07-28,4.350717,4.379625,4.263992,4.292900,0.901184,348500
1981-07-29,4.292900,4.321808,4.278446,4.278446,0.898149,172900
1981-07-30,4.278446,4.292900,4.249537,4.278446,0.898149,614800
1981-07-31,4.292900,4.321808,4.292900,4.307354,0.904218,212700
1981-08-03,4.307354,4.365171,4.292900,4.365171,0.916355,557700
1981-08-04,4.365171,4.480805,4.365171,4.480805,0.940629,149600
1981-08-05,4.480805,4.509713,4.466351,4.495259,0.943664,84700
1981-08-06,4.495259,4.625347,4.495259,4.625347,0.970973,92500
1981-08-07,4.625347,4.639801,4.596438,4.625347,0.970973,271500
1981-08-10,4.610893,4.610893,4.553076,4.610893,0.967938,108900
1981-08-11,4.596438,4.596438,4.538621,4.581984,0.961869,671000
1981-08-12,4.567530,4.567530,4.422988,4.422988,0.928492,199700
1981-08-13,4.451896,4.495259,4.451896,4.466351,0.937596,326000
1981-08-14,4.509713,4.538621,4.509713,4.538621,0.952767,267200
1981-08-17,4.509713,4.509713,4.451896,4.495259,0.943664,269800
1981-08-18,4.466351,4.466351,4.394080,4.394080,0.922424,284500
1981-08-19,4.394080,4.480805,4.394080,4.466351,0.937596,185000
1981-08-20,4.466351,4.509713,4.408534,4.408534,0.925458,249000
1981-08-21,4.408534,4.437442,4.365171,4.379625,0.919390,152200
1981-08-24,4.379625,4.379625,4.249537,4.263992,0.895116,338100
1981-08-25,4.263992,4.379625,4.235083,4.379625,0.919390,200600
1981-08-26,4.379625,4.394080,4.321808,4.336263,0.910287,326800
1981-08-27,4.307354,4.307354,4.220629,4.249537,0.892082,1115500
1981-08-28,4.249537,4.263992,4.177267,4.249537,0.892082,151300
1981-08-31,4.249537,4.292900,4.162812,4.177267,0.876910,380500
1981-09-01,4.177267,4.191720,4.133904,4.177267,0.876910,104600
1981-09-02,4.177267,4.177267,4.076087,4.119450,0.864772,176400
1981-09-03,4.119450,4.133904,3.989362,4.032724,0.846567,639900
1981-09-04,4.032724,4.162812,4.018270,4.162812,0.873876,344100
1981-09-08,4.162812,4.177267,4.090541,4.119450,0.864772,410700
1981-09-09,4.119450,4.191720,4.076087,4.148358,0.870841,237800
1981-09-10,4.148358,4.191720,4.119450,4.191720,0.879944,115800
1981-09-11,4.191720,4.379625,4.191720,4.379625,0.919390,180700
1981-09-14,4.379625,4.451896,4.307354,4.336263,0.910287,393400
1981-09-15,4.336263,4.365171,4.307354,4.336263,0.910287,127900
1981-09-16,4.336263,4.350717,4.263992,4.263992,0.895116,230900
1981-09-17,4.263992,4.263992,4.191720,4.206175,0.882978,321700
1981-09-18,4.191720,4.191720,4.104995,4.162812,0.873876,268000
1981-09-21,4.162812,4.263992,4.162812,4.249537,0.892082,191100
1981-09-22,4.249537,4.249537,4.162812,4.162812,0.873876,1166600
1981-09-23,4.119450,4.119450,4.090541,4.119450,0.864772,1136300
1981-09-24,4.119450,4.133904,4.076087,4.090541,0.858704,601900
1981-09-25,4.047179,4.047179,3.989362,4.018270,0.843532,494600
1981-09-28,4.018270,4.047179,3.931545,4.047179,0.849601,182400
1981-09-29,4.104995,4.148358,4.104995,4.104995,0.861738,270600
1981-09-30,4.104995,4.119450,4.047179,4.061633,0.852636,120200
1981-10-01,4.061633,4.061633,4.032724,4.047179,0.849601,22400
1981-10-02,4.047179,4.076087,4.003816,4.018270,0.843532,411600
1981-10-05,4.018270,4.090541,4.003816,4.090541,0.858704,390000
1981-10-06,4.090541,4.104995,4.061633,4.104995,0.861738,89000
1981-10-07,4.119450,4.278446,4.119450,4.278446,0.898149,61400
